Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;576;0;0;0.01;0;391.4;-1.5;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.1;0;576;0;0;0.01;0;391.35;-1.64;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.2;0;576;0;0;0.03;0;391.3;-1.79;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.3;0;576;0;0;0.02;0;391.3;-1.8;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.4;0;576;0;0;0.01;0;391.3;-1.8;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.5;0;576;0;0;0.02;0;391.3;-1.8;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.6;0;576;0;0;0.01;0;391.3;-1.8;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.7;0;576;0;0;0.01;0;391.3;-1.75;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.8;0;576;0;0;0.01;0;391.3;-1.7;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
0.9;0;576;2.94;0;-0.01;0;391.3;-1.89;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1;0;576;6.97;1.29;0.06;0;391.3;-2.09;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.1;0;576;10.95;3.12;0.14;0;391.3;-2.29;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.2;0;576;12.07;10.91;0.15;0;391.3;-2.49;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.3;0;576;14.23;13;0.15;0;391.25;-2.69;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.4;0;576;17.72;17.82;0.26;0;391.2;-2.89;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.5;0;576;18.98;24.62;0.42;0;391.2;-3.18;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.6;0;576;19.58;31.12;0.49;0;391.2;-3.48;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.7;0.3;576;21.06;36.91;0.52;0;391.15;-3.83;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.8;0.6;576;21;41.5;0.58;0;391.1;-4.18;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
1.9;0.74;576;21;47.21;0.68;0;391.1;-4.67;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
2;1.06;576;21;49.79;0.7;0;391.1;-5.17;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
2.1;1.28;576;20.7;52;0.66;0;391.05;-5.48;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
2.2;1.54;576;20.55;53.71;0.68;0;391;-5.78;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
2.3;1.79;576;19.79;54.5;0.67;0;390.95;-5.99;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
2.4;2.07;576;18.98;53.41;0.64;0;390.9;-6.19;19;20;86.2;100;8;89.5;0;0;0;0;1;394;0;22;57;85;58;29.5;39.84
