Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;96.89;589;45.5;14;0.09;0;381.8;-37.6;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.1;96.87;589;45.61;15;0.11;0;381.8;-37.62;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.2;96.81;589;45.5;15.32;0.09;0;381.8;-37.67;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.3;96.74;589;45.5;15.18;-0.01;0;381.82;-37.65;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.4;96.72;589;45.5;15.5;0.01;0;381.87;-37.5;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.5;96.68;589;45.45;15;0.07;0;381.9;-37.29;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.6;96.65;589;45.35;15.32;-0.01;0;381.9;-36.94;23;23;80.3;92;8;90;0;0;85;1.04;1;0;0;32;0;0;0;5;22.84
0.7;96.58;589;45.2;14.68;-0.08;0;381.92;-36.53;23;23;80.3;92;8;90;0;0;85;1.03;1;0;0;32;0;0;0;5;22.84
0.8;96.55;589;45.3;14.18;0.02;0;381.97;-35.98;23;23;80.3;92;8;90;0;0;85;1.01;1;0;0;32;0;0;0;5;22.84
0.9;96.52;589;45.35;14.5;0.03;0;381.98;-35.81;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1;96.38;589;45.35;14.83;-0.02;0;381.93;-36.51;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.1;96.32;589;45.45;14.68;0.03;0;381.9;-37.02;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.2;96.3;589;45.5;14.5;0.15;0;381.9;-37.07;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.3;96.28;589;45.61;15;0.07;0;381.88;-37.37;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.4;96.22;589;45.83;15.5;0.04;0;381.83;-38.27;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.5;96.19;589;45.87;16;0.11;0;381.82;-38.82;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.6;96.14;589;45.83;16.17;0.17;0;381.87;-38.57;23;23;80.3;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.7;96.12;589;45.77;15.82;0.02;0;381.9;-38.43;23;23;80.28;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.8;96.1;589;45.83;16;-0.03;0;381.9;-38.53;23;23;80.23;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
1.9;96.03;589;45.95;16;-0.01;0;381.88;-38.87;23;23;80.2;92;8;90;0;0;85;1;1;0;0;32;0;0;0;5;22.84
2;95.98;589;46.64;16;0.03;0;381.83;-39.77;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.1;95.94;589;46.88;16.83;-0.01;0;381.74;-41.03;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.2;95.89;589;47.41;17.5;-0.04;0;381.54;-43.13;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.3;95.9;589;49.06;19;0.01;0;381.35;-45.31;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.4;95.89;589;50.36;20;0.13;0;381.2;-47.66;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.5;95.83;589;50.95;21.5;0.15;0;380.99;-50.7;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.6;95.83;589;51.96;23.3;0.25;0;380.64;-55.35;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.84
2.7;95.87;589;52.65;26.27;0.33;0;380.23;-60.59;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.83
2.8;95.9;589;53.58;29.05;0.23;0;379.68;-67.19;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.81
2.9;95.96;589;53.98;32.5;0.35;0;379.12;-74.32;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.79
3;96.02;589;53.9;36.32;0.42;0;378.52;-82.67;23;23;80.2;92;8;90;0;0;85;0.99;1;0;0;32;0;0;0;5;22.78
3.1;96.1;589;53.73;40.28;0.44;0;377.95;-90.13;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.76
3.2;96.25;589;53.73;42.55;0.46;0;377.45;-95.53;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.74
3.3;96.42;589;53.58;44.5;0.59;0;377.02;-100.22;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.73
3.4;96.59;589;53.4;46;0.86;0;376.77;-103.27;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.71
3.5;96.76;589;53.33;47.28;0.78;0;376.54;-106.02;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.69
3.6;96.87;589;53.4;48.27;0.5;0;376.34;-108.07;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.68
3.7;97.03;589;53.4;48.73;0.61;0;376.14;-110.19;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.67
3.8;97.21;589;52.95;50;0.84;0;375.94;-112.49;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.67
3.9;97.42;589;52.8;50.78;0.73;0;375.78;-114.21;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.67
4;97.63;589;52.8;51.5;0.6;0;375.73;-114.56;23;23;80.2;92;8;90;0;0;85;0.98;1;0;0;32;0;0;0;5;22.67
4.1;97.82;589;52.72;51;0.67;0;375.7;-114.63;23;23;80.2;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.2;98.02;589;52.73;50.73;0.78;0;375.7;-114.08;23;23;80.2;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.3;98.21;589;52.95;50.5;0.7;0;375.64;-114.61;23;23;80.2;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.4;98.36;589;53.75;51.28;0.64;0;375.44;-117.61;23;23;80.2;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.5;98.56;589;56.85;52.5;0.8;0;375.1;-122.25;23;23;80.18;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.6;98.78;589;61.04;53.78;0.9;0;374.45;-130.7;23;23;80.13;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.7;99;589;63.84;60.88;0.87;0;373.55;-142.5;23;23;80.1;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.8;99.22;589;64.73;70.38;0.93;0;372.05;-162.05;23;23;80.1;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
4.9;99.62;589;64.58;77.33;1.16;0;370.68;-179.67;23;23;80.1;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
5;100.04;589;64.19;84.61;1.26;0;369.63;-192.82;23;23;80.1;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
5.1;100.5;589;63.8;88.55;1.32;0;368.76;-203.43;23;23;80.1;92;8;90;0;0;85;0.97;1;0;0;32;0;0;0;5;22.67
5.2;100.94;589;63.2;91.28;1.3;0;368.31;-208.18;23;23;80.1;92;8;90;0;0;85;0.96;1;0;0;32;0;0;0;5;22.67
5.3;101.34;589;62.34;91.72;1.38;0;367.95;-211.77;23;23;80.1;92;8;90;0;0;85;0.96;1;0;0;32;0;0;0;5;22.67
