Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;462;0;0;0.06;0;387.2;-5.5;11;12;73.9;82;8;88.5;0;840;1240;0.36;1;390;2.25;5.5;11.57;21;85;21;-500.11;15;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.1;0;462;0;0;0.06;0;387.2;-5.5;11;12;73.9;82;8;88.5;0;840;1240;0.36;1;390;2.25;5.5;11.57;21;85;21;-500.11;15.03;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.2;0;462;0;0;0.12;0;387.17;-5.89;11;12;73.9;82;8;88.5;0;949.62;1242.19;0.36;1;390;2.5;5.5;11.57;21;85;21;-500.11;15.08;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.3;0;462;0;0;0.1;0;387.12;-6.59;11;12;73.9;82;8;88.5;0.73;1059.6;1342.18;0.36;1;390;2.75;5.5;11.57;21;85;21;-500.11;15.13;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.4;0;462;0;0;0.06;0;387.07;-6.87;11;12;73.9;82;8;88.5;0.82;1169.6;1442.18;0.36;1;389.5;3;5.5;11.57;21;85;21;-500.11;15.18;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.5;0;462;0;0;0.12;0;387.02;-6.82;11;12;73.9;82;8;88.5;0.92;1279.6;1542.17;0.44;1;389;3.25;5.5;11.57;21;85;21;-500.11;15.23;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.6;0;462;0;0;0.08;0;387;-7.35;11;12;73.9;82;8;88.5;1.01;1379.63;1642.17;0.44;1;389;3.5;5.5;11.57;21;85;21;-500.11;15.28;13.84;14.19;20.91;20.21;13.23;13.84;15.67;16.55;15.76;10.87;11.05;19.25;18.38;12.44;12.53;13.93;12.88;11.66;13.75
0.7;0;462;0;0;0.08;0;387;-8.35;11;12;73.9;82;8;88.5;1.1;1479.62;1742.16;0.44;1;389;3.75;5.5;11.57;21;85;21;-500.11;15.33;13.84;14.19;20.91;20.21;13.2;13.84;15.67;16.5;15.76;10.86;11.05;19.25;18.34;12.4;12.49;13.93;12.88;11.66;13.72
0.8;0;462;0;0;0.08;0;387;-8.08;11;12;73.9;82;8;88.5;1.19;1589.57;1842.58;0.44;1;389;4;5.5;11.57;21;85;21;-500.11;15.38;13.84;14.19;20.91;20.21;13.11;13.77;15.61;16.37;15.7;10.81;11.04;19.17;18.25;12.29;12.4;13.86;12.81;11.6;13.63
0.9;0;462;0;0;0.1;0;387;-6.78;11;12;73.9;82;8;88.5;1.28;1699.56;1962.57;0.44;1;389;4.25;5.5;11.57;21;85;21;-500.11;15.43;13.84;14.28;20.88;20.21;13.02;13.66;15.51;16.23;15.59;10.77;11.03;19.04;18.15;12.17;12.3;13.76;12.68;11.5;13.55
