Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;575;0;0;0.224;0;389.8;-5;18;18;81.9;98;8;89.5;0;0;0;1.32;1;393;0;20.5;18;85;18;19;39.8413
0.1;0;575;0;0;0.224;0;389.8;-5;18;18;81.9;98;8;89.5;0;0;0;1.32;1;393;0;20.5;18;85;18;19;39.8413
0.2;0;575;0;0;0.20495;0;389.8;-5.02617;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392.86154;0;20.5;18;85;18;19;39.8413
0.3;0;575;0;0;0.204;0;389.8;-5.07617;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392.36149;0;20.5;18;85;18;19;39.8413
0.4;0;575;0;0;0.204;0;389.8;-5.07384;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
0.5;0;575;0;0;0.18491;0;389.8;-5.02384;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
0.6;0;575;0;0;0.184;0;389.8;-5.02616;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
0.7;0;575;0;0;0.16491;0;389.8;-5.07617;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
0.8;0;575;0;0;0.18305;0;389.8;-5.07382;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
0.9;0;575;0;0;0.184;0;389.8;-5.02382;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
1;0;575;0;0;0.2221;0;389.8;-5.05236;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
1.1;0;575;0;0;0.20491;0;389.8;-5.15235;18;18;81.9;98;8;89.5;0;0;0;1.32;1;392;0;20.5;18;85;18;19;39.8413
