Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;578;0;0;0.13;0;390.3;-6.2;24;25;83.5;100;8;90;0.84;1640;0.48;1;21.5;85;20.5;23
0.1;0;578;0;0;0.13;0;390.3;-6.2;24;25;83.5;100;8;90;0.84;1703.79;0.48;1;21.5;85;20.5;23
0.2;0;578;0;0.38;0.17;0;390.33;-6.42;24;25;83.5;100;8;90;0.84;1803.78;0.48;1;21.5;85;20.5;23
0.3;0;578;0;0.62;0.21;0;390.38;-6.77;24;25;83.5;100;8;90;0.84;1916.53;0.48;1;21.5;85;20.5;23
0.4;0;578;0;0.57;0.01;0;390.37;-6.71;24;25;83.5;100;8;90;0.84;2036.53;0.48;1;21.5;85;20.5;23
0.5;0;578;0;0.93;0.01;0;390.32;-6.41;24;25;83.5;100;8;90;0.84;2143.77;0.48;1;21.5;85;20.5;23
0.6;0;578;0;0;0.03;0;390.3;-6.46;24;25;83.5;100;8;90;0.84;2243.76;0.48;1;21.5;85;20.5;23
0.7;0;578;0;0.62;0.07;0;390.3;-6.71;24;25;83.5;100;8;90;0.84;2292.75;0.48;1;21.5;85;20.5;23
0.8;0.03;578;0;0;0.07;0;390.3;-7.46;24;25;83.5;100;8;90;0.84;2312.75;0.08;1;21.5;85;20.5;23
0.9;0.01;578;0;0;0.05;0;390.3;-8.51;24;25;83.5;100;8;90;0.84;2332.75;0.08;1;21.5;85;20.5;23
1;0.03;578;0;0.62;0.11;0;390.24;-8.59;24;25;83.5;100;8;90;1.24;2352.75;0.08;1;21.5;85;20.5;23
