Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;476;0;0;-0.21;0;371.1;-5.2;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.89;47.71;33.04;33.92;35.92;36.01;34.88;21.61;26.23;42.03;40.9;21;22.48;32.87;32.87;33.57;30.86
0.1;0;476;0;0;-0.21;0;371.1;-5.2;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.89;47.71;33.04;33.92;35.93;36.01;34.88;21.61;26.24;42.04;40.9;21;22.48;32.87;32.87;33.57;30.86
0.2;0;476;0;0;-0.19;0;371.07;-4.91;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.88;47.71;33.04;33.92;35.94;36.01;34.88;21.61;26.25;42.06;40.9;21;22.48;32.87;32.87;33.57;30.86
0.3;0;476;0;0;-0.2;0;371.02;-4.36;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.87;47.71;33.04;33.92;35.95;36.01;34.88;21.61;26.26;42.08;40.9;21;22.48;32.87;32.87;33.57;30.86
0.4;0;476;0;0;-0.21;0;371.03;-4.31;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.86;47.71;33.04;33.92;35.96;36.01;34.88;21.61;26.27;42.1;40.9;21;22.48;32.87;32.87;33.57;30.86
0.5;0;476;0;0;-0.19;0;371.08;-4.71;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.08;41.5;25.01;47.36;49.85;47.71;33.04;33.92;35.96;36.01;34.88;21.61;26.28;42.11;40.9;21;22.48;32.87;32.87;33.57;30.86
0.6;0;476;0;0;-0.19;0;371.1;-4.66;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.09;41.5;25.01;47.36;49.84;47.71;33.04;33.92;35.97;36.01;34.88;21.61;26.28;42.13;40.9;21;22.48;32.87;32.87;33.57;30.86
0.7;0;476;0;0;-0.19;0;371.1;-4.21;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.1;41.5;25.01;47.36;49.83;47.71;33.04;33.92;35.98;36.01;34.88;21.61;26.29;42.15;40.9;21;22.48;32.87;32.87;33.57;30.86
0.8;0;476;0;0;-0.19;0;371.1;-4.03;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.11;41.5;25.01;47.36;49.82;47.71;33.04;33.92;35.99;36.01;34.88;21.61;26.3;42.17;40.9;21;22.48;32.87;32.87;33.57;30.86
0.9;0;476;0;0;-0.22;0;371.1;-4.08;13;14;52.8;59;8;88.5;1.16;1200;1200;0;1;374;3.25;3.5;3.37;51;85;49;-0.11;41.5;25.01;47.36;49.82;47.71;33.04;33.92;36;36.01;34.88;21.61;26.31;42.18;40.9;21;22.48;32.87;32.87;33.57;30.86
