Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;512;0;0;-0.04;0;390.5;-9.7;6;6;85.8;100;8;88.5;1.88;2720;3120;0;1;393;7;3;3.89;4;85;4;-500.11;5;10;3.63;3.72;4.68;2.93;3.02;2.41;2.41;2.41;4.33;3.72;4.06;4.06;4.59;6.07;3.19;3.1;3.1;3.19
0.1;0;512;0;0;-0.04;0;390.5;-9.7;6;6;85.8;100;8;88.5;1.88;2782.98;3120;0;1;393;7.12;3;3.89;4;85;4;-500.11;5;10;3.63;3.72;4.68;2.94;3.02;2.41;2.42;2.41;4.33;3.72;4.06;4.07;4.61;6.09;3.19;3.1;3.11;3.21
0.2;0;512;0;0;-0.05;0;390.5;-9.7;6;6;85.8;100;8;88.5;1.88;2912.99;3170.99;0;1;393;7.37;3;3.89;4;85;4;-500.11;5;10;3.63;3.72;4.68;2.96;3.04;2.42;2.44;2.42;4.34;3.72;4.06;4.08;4.64;6.12;3.21;3.11;3.12;3.22
0.3;0;512;0;0;-0.04;0;390.5;-10.05;6;6;85.8;100;8;88.5;1.88;3028.45;3270.98;0;1;393;7.62;3;3.89;4;85;4;-500.11;5;10;3.65;3.72;4.68;2.98;3.05;2.44;2.46;2.44;4.35;3.73;4.06;4.09;4.66;6.15;3.23;3.12;3.14;3.24
0.4;0;512;0;0;-0.04;0;390.5;-10.4;6;6;85.8;100;8;88.5;2.72;3128.43;3432.14;0;1;393;7.87;3;3.89;4;85;4;-500.12;5;10;3.66;3.72;4.68;3;3.07;2.46;2.47;2.46;4.36;3.74;4.06;4.1;4.69;6.17;3.24;3.13;3.16;3.26
0.5;0;512;0;0;-0.04;0;390.5;-10.75;6;6;85.75;100;8;88.5;2.72;3223.57;3652.12;0;1;393;8.12;3;3.89;4;85;4;-500.12;5;10;3.68;3.72;4.68;3.01;3.09;2.48;2.49;2.48;4.37;3.75;4.06;4.11;4.71;6.2;3.26;3.14;3.18;3.28
0.6;0;512;0;0;-0.05;0;390.5;-11.1;6;6;85.7;100;8;88.5;2.72;3313.55;3760;0;1;393;8.37;3;3.89;4;85;4;-500.13;5;10;3.7;3.72;4.68;3.03;3.11;2.49;2.51;2.49;4.38;3.76;4.06;4.12;4.74;6.22;3.28;3.15;3.19;3.29
0.7;0;512;0;0;-0.04;0;390.3;-10.95;6;6;85.7;100;8;88.5;2.72;3456.76;3760;0;1;392.76;8.74;3;3.89;4;85;4;-500.14;5;10;3.72;3.72;4.68;3.05;3.12;2.51;2.53;2.51;4.39;3.77;4.06;4.12;4.77;6.25;3.3;3.16;3.21;3.31
0.8;0;512;0;0;-0.04;0;390.1;-10.81;6;6;85.7;100;8;88.5;2.72;3656.76;3810.95;0;1;392.26;9.24;3;3.89;4;85;4;-500.15;5;10;3.73;3.72;4.68;3.07;3.14;2.53;2.54;2.53;4.39;3.78;4.06;4.13;4.79;6.28;3.31;3.17;3.23;3.33
0.9;0;512;0;0;-0.06;0;390.2;-11.26;6;6;85.7;100;8;88.5;2.72;3769.68;3910.94;0;1;392;9.56;3;3.89;4;85;4;-500.16;5;10;3.75;3.72;4.68;3.08;3.16;2.55;2.56;2.55;4.4;3.79;4.06;4.14;4.82;6.3;3.33;3.17;3.24;3.35
