Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;35;553;30.625;15;0.088;0;383.4;-12.1;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;387;0;24;44;85;44;39;31.8397
0.1;35.10754;553;28.75;12;0.14821;0;383.4;-12.1;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;387;0;24;44;85;44;39;31.8397
0.2;35.16426;553;27.43457;9.472;0.05932;0;383.55517;-9.96644;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;387.30234;0;24;44;85;44;39;31.8397
0.3;35.20894;553;26.33003;7;-0.01831;0;383.75518;-7.21631;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;387.80224;0;24;44;85;44;39;31.8397
0.4;35.24419;553;24.01747;4.76412;-0.07839;0;383.95516;-5.04843;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388;0;24;44;85;44;39;31.8397
0.5;35.22856;553;22.23288;0.94821;-0.092;0;384.15513;-3.04873;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388;0;24;44;85;44;39;31.8397
0.6;35.22855;553;21.5476;-1.05547;-0.20025;0;384.4327;0.11487;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388;0;24;44;85;44;39;31.8397
0.7;35.09776;553;21.2272;-7.02613;-0.232;0;384.73273;3.61522;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388;0;24;44;85;44;39;31.8397
0.8;35.04466;553;20.98198;-9.5285;-0.30933;0;384.87758;4.9043;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388.30218;0;24;44;85;44;39;31.8397
0.9;34.96293;553;17.9;-10.5;-0.06954;0;384.97759;5.55433;19;20;70.9;82.5;8;89.5;0;0;0;0.2;1;388.80216;0;24;44;85;44;39;31.8397
