Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;483;0;0;-0.17;0;379.2;-4.3;11;12;67.5;78;8;88.5;1.44;1440;1440;0;1;382;3.75;3;3.19;53;85;51;-0.23;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.1;0;483;0;0;-0.21;0;379.2;-4.46;11;12;67.5;78;8;88.5;1.44;1440;1440;0;1;382;3.75;3;3.19;53;85;51;-0.23;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.2;0;483;0;0;-0.21;0;379.2;-4.71;11;12;67.5;78;8;88.5;1.44;1440;1459.96;0;1;382;3.75;3;3.19;53;85;51;-0.22;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.3;0;483;0;0;-0.18;0;379.2;-4.9;11;12;67.5;78;8;88.5;1.44;1449.72;1479.96;0;1;382;3.75;3;3.19;53;85;51;-0.21;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.4;0;483;0;0;-0.18;0;379.2;-5.05;11;12;67.5;78;8;88.5;1.44;1459.72;1480;0;1;382;3.75;3;3.19;53;85;51;-0.21;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.5;0;483;0;0;-0.18;0;379.2;-5.03;11;12;67.5;78;8;88.5;1.44;1469.72;1480;0;1;382;3.75;3;3.19;53;85;51;-0.2;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.6;0;483;0;0;-0.2;0;379.2;-4.93;11;12;67.5;78;8;88.5;1.44;1479.72;1480;0;1;382;3.75;3;3.19;53;85;51;-0.19;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.7;0;483;0;0;-0.17;0;379.23;-5.26;11;12;67.5;78;8;88.5;1.44;1480;1480;0;1;382;3.87;3;3.19;53;85;51;-0.18;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.22;32.95;33.92;35.14;31.73
0.8;0;483;0;0;-0.2;0;379.28;-5.81;11;12;67.5;78;8;88.5;1.44;1480;1480;0;1;382;4;3;3.2;53;85;51;-0.18;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.84;19.43;25.1;43.87;42.82;20.21;22.25;32.95;33.92;35.14;31.73
0.9;0;483;0;0;-0.19;0;379.27;-5.67;11;12;67.5;78;8;88.5;1.44;1480;1480;0;1;382;4;3;3.21;53;85;51;-0.17;43;23.84;48.75;51.63;49.1;34;33.92;36.18;37.41;35.85;19.43;25.1;43.88;42.82;20.21;22.28;32.95;33.92;35.14;31.73
