Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;575;0;0;-0.23;0;390.6;-13.1;8;9;83.8;99;8;88;3.36;4640;4800;0;1;393;11.75;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.82;6.86;2.49;4.06;16.02;15.85;1.97;3.28;5.11;3.02;1.97;5.64
0.1;0;575;0;0;-0.21;0;390.6;-13.1;8;9;83.8;99;8;88;3.36;4640;4800;0;1;393;11.75;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.82;6.86;2.49;4.06;16.02;15.85;1.97;3.28;5.11;3.02;1.97;5.64
0.2;0;575;0;0;-0.32;0;390.6;-13.1;8;9;83.8;99;8;88;3.36;4640;4893.47;0;1;393;11.75;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.82;6.86;2.49;4.06;16.02;15.85;1.97;3.28;5.11;3.02;1.97;5.64
0.3;0;575;0;0;-0.23;0;390.6;-13.1;8;9;83.8;99;8;88;4.24;4730.91;4993.46;0;1;393;11.98;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.82;6.86;2.49;4.06;16.02;15.85;1.97;3.28;5.11;3.02;1.97;5.64
0.4;0;575;0;0;-0.23;0;390.58;-13.17;8;9;83.8;99;8;88;4.24;4830.89;5000;0;1;393;12.23;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.82;6.86;2.5;4.06;16.02;15.87;1.97;3.27;5.11;3.02;1.97;5.64
0.5;0;575;0;0;-0.25;0;390.48;-13.47;8;9;83.8;99;8;88;4.24;4912.72;5000;0;1;392.55;12.48;-3;-1.87;25;85;25;-500.34;10.5;10;28.94;22.13;18.9;4.76;4.94;7.21;7.83;6.86;2.53;4.09;16.06;15.97;1.97;3.25;5.11;3.02;1.97;5.65
0.6;0;575;0;0;-0.23;0;390.41;-13.87;8;9;83.8;99;8;88;4.24;4992.73;5205.58;0;1;392.05;12.73;-3;-1.87;25;85;25;-500.34;10.5;10;28.83;22.31;18.95;4.76;4.94;7.22;7.84;6.86;2.55;4.14;16.15;16.08;1.97;3.22;5.11;3.02;1.98;5.66
0.7;0;575;0;0;-0.25;0;390.46;-14.67;8;9;83.8;99;8;88;4.24;5018.18;5425.57;0;1;392;12.75;-3;-1.87;25;85;25;-500.34;10.52;10;28.51;22.83;19.09;4.76;4.94;7.23;7.85;6.86;2.58;4.19;16.24;16.18;1.97;3.2;5.11;3.02;1.99;5.66
0.8;0;575;0;0;-0.25;0;390.47;-15.3;8;9;83.8;99;8;88;4.24;5038.18;5533.43;0;1;392;12.75;-3;-1.87;25;85;25;-500.33;10.57;10;28.19;23.35;19.23;4.76;4.94;7.24;7.85;6.86;2.6;4.25;16.32;16.29;1.97;3.17;5.11;3.02;2;5.67
0.9;0;575;0;0;-0.23;0;390.32;-15.3;8;9;83.8;99;8;88;4.24;5239.99;5633.42;0;1;392;13.32;-3;-1.87;25;85;25;-500.3;10.62;10;27.86;23.88;19.37;4.76;4.94;7.25;7.86;6.86;2.63;4.3;16.41;16.39;1.97;3.14;5.11;3.02;2.01;5.68
