Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0.73;593;7.83;16.5;-0.11;0;387;-7.5;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.1;0.81;593;7.56;15.7;-0.09;0;387;-7.5;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.2;0.87;593;7.5;15.7;-0.07;0;387;-7.49;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.3;1.02;593;7.5;14.2;-0.06;0;387;-7.39;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.4;1.02;593;7.41;13.3;-0.05;0;387;-7.31;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.5;1.15;593;7.44;12;-0.04;0;387;-7.36;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.6;1.16;593;7.5;11.4;-0.04;0;387;-7.39;28;28;75.5;87;8;90;0;0;1.76;1;26.5;85;16;37.17
0.7;1.22;593;7.41;11.1;-0.04;0;387;-7.29;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
0.8;1.32;593;6.32;10.8;-0.03;0;387;-7.19;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
0.9;1.34;593;6.58;10.1;-0.02;0;387;-7.14;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
1;1.44;593;6.43;8.6;0;0;387;-7.08;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
1.1;1.4;593;6.43;7.8;0.01;0;387;-6.88;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
1.2;1.55;593;6.43;6.5;0;0;387;-6.68;28;28;75.5;87;8;90;0;0;1.72;1;26.5;85;16;37.17
