Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;511;0;0;-0.29;0;386.2;-2.1;6;6;72.1;83;8;88.5;0;0;600;0;1;389;0;3.5;3.63;5;85;5;-500.11;5.5;10;7.99;6.07;9.04;6.07;6.77;5.02;6.25;4.94;9.04;6.42;8.87;7.82;9.48;9.13;6.68;7.03;6.86;6.16
0.1;0;511;0;0;-0.31;0;386.15;-2.63;6;6;72.1;83;8;88.5;0;0;600;0;1;389;0;3.5;3.63;5;85;5;-500.11;5.5;10;7.99;6.07;9.04;6.07;6.77;5.02;6.25;4.94;9.04;6.42;8.87;7.82;9.48;9.13;6.68;7.03;6.86;6.16
0.2;0;511;0;0;-0.31;0;386.1;-3.18;6;6;72.1;83;8;88.5;0;219.7;600;0;1;389;0.6;3.5;3.63;5;85;5;-500.11;5.5;10;7.99;6.07;9.04;6.07;6.77;5.02;6.25;4.94;9.04;6.42;8.87;7.82;9.48;9.13;6.68;7.03;6.86;6.16
0.3;0;511;0;0;-0.33;0;386.05;-3.53;6;6;72.1;83;8;88.5;0;449.67;698.08;0;1;389;1.22;3.5;3.63;5;85;5;-500.11;5.5;10;7.99;6.07;9.04;6.06;6.77;5.02;6.22;4.94;9.01;6.42;8.87;7.79;9.44;9.11;6.68;7.03;6.86;6.15
0.4;0;511;0;0;-0.31;0;386;-3.88;6;6;72.1;83;8;88.5;0;555.51;798.07;0;1;389;1.49;3.5;3.63;5;85;5;-500.11;5.5;10;7.99;6.07;9.04;6.02;6.74;5;6.09;4.91;8.88;6.4;8.79;7.7;9.31;9.06;6.66;7.01;6.83;6.12
0.5;0;511;0;0;-0.31;0;385.95;-4.14;6;6;72.1;83;8;88.5;0;655.51;897.57;0;1;389;1.74;3.5;3.63;5;85;5;-500.11;5.51;10;7.93;6.05;8.97;5.97;6.67;4.93;5.97;4.85;8.75;6.37;8.63;7.6;9.18;9.01;6.61;6.97;6.78;6.08
0.6;0;511;0;0;-0.33;0;385.9;-4.39;6;6;72.1;83;8;88.5;0;764.53;997.06;0;1;388.52;1.99;3.5;3.63;5;85;5;-500.11;5.56;10;7.79;6;8.8;5.93;6.6;4.87;5.85;4.79;8.62;6.34;8.48;7.51;9.05;8.96;6.55;6.92;6.73;6.05
0.7;0;511;0;0;-0.31;0;385.85;-4.5;6;6;72.1;83;8;88.5;0;873.97;1116.46;0;1;388.03;2.24;3.5;3.63;5;85;5;-500.1;5.61;10;7.64;5.95;8.62;5.89;6.53;4.81;5.73;4.73;8.48;6.3;8.32;7.41;8.92;8.9;6.5;6.88;6.68;6.01
0.8;0;511;0;0;-0.31;0;385.8;-4.6;6;6;72.1;83;8;88.5;0;965.04;1236.46;0;1;388;2.49;3.5;3.63;5;85;5;-500.09;5.66;10;7.49;5.89;8.45;5.84;6.46;4.75;5.61;4.66;8.35;6.27;8.16;7.31;8.79;8.85;6.45;6.84;6.62;5.98
0.9;0;511;0;0;-0.31;0;385.75;-5.08;6;6;72.1;83;8;88.5;0;1055.03;1337.05;0;1;388;2.74;3.5;3.63;5;85;5;-500.07;5.71;10;7.34;5.84;8.27;5.8;6.39;4.69;5.48;4.6;8.22;6.23;8.01;7.22;8.66;8.8;6.4;6.79;6.57;5.94
1;0;511;0;0;-0.33;0;385.7;-5.58;6;6;72.1;83;8;88.5;0;1163.93;1437.04;0;1;388;2.99;3.5;3.63;5;85;5;-500.06;5.76;10;7.19;5.79;8.1;5.76;6.32;4.63;5.36;4.54;8.09;6.2;7.85;7.12;8.53;8.75;6.34;6.75;6.52;5.91
1.1;0;511;0;0;-0.32;0;385.65;-5.27;6;6;72.1;83;8;88.5;0.84;1273.93;1537.03;0;1;388;3.24;3.5;3.63;5;85;5;-500.04;5.81;10;7.04;5.74;7.92;5.71;6.25;4.57;5.24;4.48;7.96;6.16;7.69;7.03;8.4;8.7;6.29;6.71;6.47;5.87
1.2;0;511;0;0;-0.33;0;385.6;-4.92;6;6;72.1;83;8;88.5;0.84;1383.93;1637.02;0;1;388;3.49;3.5;3.63;5;85;5;-500.03;5.86;10;6.9;5.68;7.75;5.67;6.18;4.51;5.12;4.42;7.83;6.13;7.53;6.93;8.27;8.64;6.24;6.66;6.41;5.84
1.3;0;511;0;0;-0.32;0;385.55;-5.86;6;6;72.1;83;8;88.5;0.84;1493.93;1737.02;0;1;388;3.74;3.5;3.62;5;85;5;-500.01;5.91;10;6.75;5.63;7.57;5.61;6.11;4.45;4.99;4.36;7.7;6.09;7.38;6.82;8.12;8.57;6.19;6.62;6.36;5.78
1.4;0;511;0;0;-0.3;0;385.5;-6.86;6;6;72.1;83;8;88.5;0.84;1594.45;1837.01;0;1;388;4.1;3.5;3.58;5;85;5;-500;5.96;10;6.6;5.58;7.4;5.51;6.01;4.35;4.83;4.26;7.58;6.04;7.2;6.66;7.92;8.44;6.1;6.53;6.28;5.68
1.5;0;511;0;0;-0.32;0;385.4;-6.52;6;6;72.1;83;8;88.5;0.84;1694.42;1956.4;0;1;388;4.48;3.5;3.55;5;85;5;-499.98;5.99;10;6.44;5.52;7.24;5.4;5.88;4.22;4.67;4.13;7.46;5.98;6.99;6.5;7.72;8.31;5.98;6.39;6.15;5.58
1.6;0;511;0;0;-0.33;0;385.3;-6.12;6;6;72.1;83;8;88.5;0.84;1794.4;2076.39;0;1;388;4.74;3.5;3.52;5;85;5;-499.97;5.94;10;6.27;5.46;7.09;5.3;5.75;4.09;4.51;4;7.33;5.92;6.78;6.35;7.52;8.18;5.86;6.25;6.03;5.47
1.7;0;511;0;0;-0.32;0;385.3;-6.67;6;6;72.1;83;8;88.5;0.84;1894.38;2176.99;0;1;388;4.99;3.5;3.48;5;85;5;-499.98;5.89;10;6.09;5.4;6.94;5.19;5.62;3.96;4.36;3.87;7.21;5.86;6.57;6.19;7.32;8.05;5.74;6.11;5.91;5.37
1.8;0;511;0;0;-0.3;0;385.3;-7.27;6;6;72.1;83;8;88.5;0.84;2013.29;2276.98;0;1;388;5.24;3.5;3.45;5;85;5;-500;5.84;10;5.92;5.34;6.79;5.09;5.49;3.83;4.2;3.74;7.09;5.8;6.36;6.03;7.11;7.92;5.61;5.97;5.79;5.26
1.9;0;511;0;0;-0.33;0;385.2;-7.59;6;6;72.1;83;8;88.5;0.84;2133.33;2376.98;0;1;388;5.49;3.5;3.41;5;85;5;-500.02;5.79;10;5.74;5.28;6.64;4.98;5.36;3.7;4.04;3.61;6.97;5.74;6.15;5.88;6.91;7.79;5.49;5.83;5.67;5.16
