Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;513;0;0;0.04;0;374.5;-5.9;4;4;52.6;64;8;88.5;0.68;1060;1440;0;1;377;2.75;2;3.54;2;85;2;-500.19;5;10;3.02;1.71;3.28;2.49;1.97;3.45;3.72;3.63;3.45;1.53;2.41;1.71;4.94;4.76;1.53;1.71;1.45;1.71
0.1;0;513;0;0;0.05;0;374.48;-5.85;4;4;52.6;64;8;88.5;0.68;1085.36;1440;0;1;377;2.83;2;3.52;2;85;2;-500.19;5;10;3.02;1.71;3.28;2.44;1.97;3.45;3.64;3.63;3.37;1.53;2.41;1.63;4.81;4.69;1.53;1.71;1.45;1.66
0.2;0;513;0;0;0.05;0;374.38;-5.65;4;4;52.6;64;8;88.5;0.68;1205.32;1463.67;0;1;377;3.2;2;3.46;2;85;2;-500.19;5;10;3.02;1.71;3.28;2.33;1.88;3.36;3.47;3.53;3.2;1.48;2.24;1.46;4.53;4.53;1.44;1.6;1.35;1.55
0.3;0;513;0;0;0.05;0;374.3;-5.65;4;4;52.6;64;8;88.5;0.68;1321.07;1563.66;0;1;377;3.55;2;3.41;2;85;2;-500.19;5;10;2.9;1.68;3.13;2.21;1.74;3.23;3.31;3.4;3.02;1.41;2;1.3;4.25;4.38;1.31;1.45;1.22;1.45
0.4;0;513;0;0;0.09;0;374.3;-6.3;4;4;52.6;64;8;88.5;0.68;1421.09;1663.66;0;1;377;3.8;2;3.36;2;85;2;-500.19;5;10;2.73;1.64;2.91;2.1;1.61;3.1;3.14;3.27;2.85;1.34;1.77;1.13;3.97;4.22;1.18;1.3;1.09;1.34
0.5;0;513;0;0;0.09;0;374.28;-6.74;4;4;52.6;64;8;88.5;0.68;1521.1;1763.65;0;1;377;4.05;2;3.31;2;85;2;-500.18;5;10;2.55;1.59;2.7;1.99;1.48;2.97;2.97;3.14;2.67;1.27;1.53;0.97;3.69;4.06;1.05;1.16;0.96;1.24
0.6;0;513;0;0;0.08;0;374.18;-6.49;4;4;52.6;64;8;88.5;0.68;1621.1;1868.38;0;1;377;4.3;2;3.25;2;85;2;-500.18;5;10;2.38;1.55;2.48;1.87;1.35;2.84;2.81;3.01;2.5;1.2;1.29;0.8;3.41;3.9;0.92;1.01;0.83;1.14
0.7;0;513;0;0;0.07;0;374.1;-6.46;4;4;52.6;64;8;88.5;0.68;1721.1;1988.37;0;1;376.89;4.55;2;3.2;2;85;2;-500.17;5;10;2.2;1.5;2.26;1.76;1.22;2.7;2.64;2.88;2.32;1.13;1.06;0.64;3.13;3.75;0.78;0.86;0.7;1.03
0.8;0;513;0;0;0.06;0;374.1;-7.16;4;4;52.6;64;8;88.5;0.68;1821.09;2103.64;0;1;376.39;4.8;2;3.15;2;85;2;-500.16;5;10;2.03;1.46;2.04;1.65;1.09;2.57;2.48;2.75;2.15;1.06;0.82;0.47;2.85;3.59;0.65;0.71;0.57;0.93
0.9;0;513;0;0;0.06;0;374.08;-7.75;4;4;52.6;64;8;88.5;0.68;1923.2;2203.63;0;1;376;5.08;2;3.1;2;85;2;-500.15;5;10;1.85;1.42;1.82;1.53;0.96;2.44;2.31;2.62;1.98;0.99;0.59;0.3;2.57;3.43;0.52;0.56;0.44;0.82
