Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;524;0;0;-0.03;0;386.9;-17.4;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14;14.84
0.1;0;524;0;0;-0.03;0;386.86;-16.98;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14;14.84
0.2;0;524;0;0;-0.03;0;386.81;-16.48;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14;14.84
0.3;0;524;0;0;-0.04;0;386.8;-16.73;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14;14.84
0.4;0;524;0;0;-0.03;0;386.8;-17.13;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.02;14.84
0.5;0;524;0;0;-0.03;0;386.76;-16.78;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.07;14.84
0.6;0;524;0;0;-0.04;0;386.71;-16.28;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.12;14.84
0.7;0;524;0;0;-0.03;0;386.74;-16.66;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.17;14.84
0.8;0;524;0;0;-0.03;0;386.79;-17.21;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.22;14.84
0.9;0;524;0;0;-0.01;0;386.76;-16.76;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.27;14.84
1;0;524;0;0;-0.01;0;386.71;-16.11;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.32;14.84
1.1;0;524;0;0;-0.02;0;386.74;-16.46;17;18;77;89.5;8;89.5;5.72;0;0.12;0;14;0;14.37;14.84
1.2;0;524;0;0;-0.01;0;386.79;-17.01;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.42;14.84
1.3;0;524;0;0;-0.04;0;386.76;-16.56;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.47;14.84
1.4;0;524;0;0;-0.03;0;386.71;-15.91;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
1.5;0;524;0;0;-0.03;0;386.74;-16.42;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
1.6;0;524;0;0;-0.03;0;386.79;-17.17;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
1.7;0;524;0;0;-0.03;0;386.8;-16.93;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
1.8;0;524;0;0;-0.03;0;386.8;-16.48;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
1.9;0;524;0;0;-0.01;0;386.76;-16.61;17;18;77;89.5;8;89.5;5.72;0;0.04;0;14;0;14.5;14.84
2;0;524;0;0;-0.02;0;386.71;-16.86;17;18;77;89.5;8;89.5;5.72;0;0.16;0;14;0;14.5;14.84
2.1;0;524;0;0;-0.01;0;386.74;-16.57;17;18;77;89.5;8;89.5;5.72;0;0.16;0;14;0;14.5;14.84
2.2;0;524;0;0;-0.02;0;386.79;-16.17;17;18;77;89.5;8;89.5;5.72;0;0.16;0;14;0;14.5;14.84
2.3;0;524;0;0;-0.03;0;386.76;-16.47;17;18;77;89.5;8;89.5;5.72;0;0.16;0;14;0;14.5;14.84
2.4;0;524;0;0;-0.04;0;386.71;-16.92;17;18;77;89.5;8;89.5;5.64;0;0.16;0;14;0;14.5;14.84
2.5;0;524;0;0;-0.05;0;386.74;-16.79;17;18;77;89.5;8;89.5;5.64;0;0.16;0;14;0;14.5;14.84
2.6;0;524;0;0;-0.03;0;386.79;-16.54;17;18;77;89.5;8;89.5;5.64;0;0.16;0;14;0;14.5;14.84
2.7;0;524;0;0;-0.03;0;386.76;-16.17;17;18;77;89.5;8;89.5;5.64;0;0.16;0;14;0;14.5;14.84
2.8;0;524;0;0;0.02;0;386.71;-15.77;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
2.9;0;524;0;0;-0.02;0;386.74;-15.99;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
3;0;524;0;0;-0.01;0;386.79;-16.34;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
3.1;0;524;0;0;-0.01;0;386.76;-15.9;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
3.2;0;524;0;0;-0.05;0;386.71;-15.3;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
3.3;0;524;0;0;-0.04;0;386.74;-15.78;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.5;14.84
3.4;0;524;0;0;-0.03;0;386.79;-16.48;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.52;14.84
3.5;0;524;0;0;0;0;386.76;-15.94;17;18;77;89.5;8;89.5;5.64;0;0.04;0;14;0;14.57;14.84
