Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;574;0;0;-0.03;0;391.4;-2.2;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.1;0;574;0;0;0;0;391.4;-2.21;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.2;0;574;0;0;-0.01;0;391.4;-2.26;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.3;0;574;0;0;-0.03;0;391.4;-2.3;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.4;0;574;0;0;-0.03;0;391.4;-2.3;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.5;0;574;0;0;-0.01;0;391.4;-2.3;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.5;24.5
0.6;0;574;0;0;-0.01;0;391.4;-2.3;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.45;24.5
0.7;0;574;0;0;-0.03;0;391.4;-2.31;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.4;24.5
0.8;0;574;0;0.38;-0.01;0;391.4;-2.36;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.35;24.5
0.9;0;574;0;0.12;-0.01;0;391.4;-2.37;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.3;24.5
1;0;574;0;0.38;0.01;0;391.4;-2.27;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.25;24.5
1.1;0;574;0;0;-0.02;0;391.4;-2.21;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.2;24.5
1.2;0;574;0;0;-0.03;0;391.4;-2.26;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.15;24.5
1.3;0;574;0;0;-0.01;0;391.4;-2.33;21;22;86.9;100;8;90;0;0;85;0.4;1;0;0;25.5;0;0;0;30.1;24.5
