Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;547;0;0;-0.05;0;384.1;-5.7;22;60.9;69.6;79;8;90;0;0;1.64;1;22.5;85;15.5;38.17
0.1;0;547;0;0;-0.07;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.5;38.17
0.2;0;547;0;0;-0.09;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.5;38.17
0.3;0;547;0;0;-0.1;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.5;38.17
0.4;0;547;0;0;-0.07;0;384.1;-5.73;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.5;38.17
0.5;0;547;0;0;-0.09;0;384.1;-5.78;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
0.6;0;547;0;0;-0.09;0;384.1;-5.77;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
0.7;0;547;0;0;-0.1;0;384.1;-5.72;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
0.8;0;547;0;0;-0.11;0;384.1;-5.73;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
0.9;0;547;0;0;-0.09;0;384.1;-5.78;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1;0;547;0;0;-0.09;0;384.1;-5.77;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.1;0;547;0;0;-0.07;0;384.1;-5.72;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.2;0;547;0;0;-0.07;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.3;0;547;0;0;-0.08;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.4;0;547;0;0;-0.09;0;384.1;-5.73;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.5;0;547;0;0;-0.09;0;384.1;-5.78;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.6;0;547;0;0;-0.07;0;384.1;-5.73;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.7;0;547;0;0;-0.05;0;384.1;-5.63;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.8;0;547;0;0;-0.09;0;384.1;-5.63;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
1.9;0;547;0;0;-0.12;0;384.1;-5.68;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2;0;547;0;0;-0.08;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.1;0;547;0;0;-0.07;0;384.1;-5.7;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.2;0;547;0;0;-0.09;0;384.1;-5.73;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.3;0;547;0;0;-0.09;0;384.1;-5.78;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.4;0;547;0;0;-0.06;0;384.1;-5.8;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.5;0;547;0;0;-0.06;0;384.1;-5.8;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.6;0;547;0;0;-0.07;0;384.1;-5.87;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.7;0;547;0;0;-0.08;0;384.1;-5.97;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.8;0;547;0;0;-0.06;0;384.1;-6.27;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.5;38.17
2.9;0;547;0;0;-0.09;0;384.1;-6.67;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.48;38.17
3;0;547;0;0;-0.09;0;384.1;-6.63;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.43;38.17
3.1;0;547;0;0;-0.1;0;384.1;-6.38;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.38;38.17
3.2;0;547;0;0;-0.09;0;384.1;-6.3;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.33;38.17
3.3;0;547;0;0;-0.09;0;384.1;-6.3;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.28;38.17
3.4;0;547;0;0;-0.07;0;384.1;-6.3;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.23;38.17
3.5;0;547;0;0;-0.08;0;384.1;-6.3;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.18;38.17
3.6;0;547;0;0;-0.07;0;384.1;-6.27;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15.13;38.17
3.7;0;547;0;0;-0.08;0;384.1;-6.22;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.08;38.17
3.8;0;547;0;0;-0.07;0;384.1;-6.3;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15.03;38.17
3.9;0;547;8.25;0;-0.08;0;384.1;-6.45;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4;0;547;11.08;2.49;-0.14;0;384.07;-6.6;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4.1;0;547;10.93;9.94;-0.21;0;384.02;-6.75;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4.2;0;547;10.75;11.51;-0.23;0;384;-6.87;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4.3;0;547;10.6;15.47;-0.28;0;384;-6.97;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4.4;0;547;10.6;18.5;-0.31;0;384;-7.07;22;23;69.6;79;8;90;0;0;1.64;1;22.5;85;15;38.17
4.5;0;547;10.46;19.51;-0.31;0;384;-7.17;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15;38.17
4.6;0;547;10.33;21.51;-0.31;0;384;-7.27;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15;38.17
4.7;0.17;547;9.83;22.98;-0.33;0;384;-7.37;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15;38.17
4.8;0.15;547;9.38;23;-0.32;0;384;-7.47;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;15;38.17
4.9;0.51;547;9.08;24.01;-0.31;0;384;-7.57;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;14.98;38.17
5;0.63;547;7.83;24.51;-0.31;0;384;-7.57;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;14.93;38.17
5.1;0.73;547;5.81;23.99;-0.28;0;384;-7.52;22;23;69.6;79;8;90;0;0;1.6;1;22.5;85;14.88;38.17
