Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;484;0;0;-0.29;0;390.6;-10.9;11;12;77.4;89.5;8;88.5;1.88;2960;3120;0;1;393;7.5;4;5.2;14;85;14;-500.04;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.1;0;484;0;0;-0.31;0;390.6;-10.9;11;12;77.4;89.5;8;88.5;1.88;2960;3149.42;0;1;393;7.5;4;5.2;14;85;14;-500.04;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.2;0;484;0;0;-0.28;0;390.6;-10.9;11;12;77.4;89.5;8;88.5;1.88;2986.88;3249.41;0;1;393;7.57;4;5.2;14;85;14;-500.05;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.3;0;484;0;0;-0.31;0;390.5;-10.31;11;12;77.4;89.5;8;88.5;1.88;3086.86;3349.41;0;1;393;7.82;4;5.2;14;85;14;-500.05;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.4;0;484;0;0;-0.31;0;390.4;-9.71;11;12;77.4;89.5;8;88.5;1.88;3186.84;3449.4;0;1;393;8.07;4;5.2;14;85;14;-500.06;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.5;0;484;0;0;-0.3;0;390.45;-10.58;11;12;77.4;89.5;8;88.5;1.88;3286.84;3555.28;0;1;393;8.32;4;5.2;14;85;14;-500.07;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.6;0;484;0;0;-0.31;0;390.5;-11.48;11;12;77.4;89.5;8;88.5;2.96;3386.84;3675.27;0;1;393;8.57;4;5.2;14;85;14;-500.08;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.7;0;484;0;0;-0.33;0;390.35;-10.42;11;12;77.4;89.5;8;88.5;2.96;3486.83;3789.39;0;1;393;8.82;4;5.2;14;85;14;-500.08;9.5;12.84;14.63;11.57;12.27;8.69;9.04;10.26;10.09;10.52;7.99;9.65;10.96;10.7;10.35;9.83;9.13;8.43;7.73;9.13
0.8;0;484;0;0;-0.3;0;390.2;-9.32;11;12;77.4;89.5;8;88.5;2.96;3592.19;3889.38;0;1;392.87;9.1;4;5.19;14;85;14;-500.09;9.5;12.84;14.63;11.57;12.27;8.7;9.04;10.26;10.1;10.52;8;9.65;10.96;10.7;10.36;9.84;9.13;8.43;7.73;9.14
0.9;0;484;0;0;-0.35;0;390.25;-10.52;11;12;77.4;89.5;8;88.5;2.96;3712.19;3989.38;0;1;392.37;9.48;4;5.19;14;85;14;-500.1;9.5;12.84;14.63;11.57;12.27;8.7;9.05;10.27;10.11;10.54;8.02;9.67;10.97;10.71;10.39;9.85;9.14;8.44;7.75;9.15
1;0;484;0;0;-0.35;0;390.3;-11.77;11;12;77.4;89.5;8;88.5;2.96;3826.83;4089.37;0;1;392;9.82;4;5.18;14;85;14;-500.11;9.5;12.84;14.74;11.55;12.24;8.71;9.06;10.28;10.13;10.56;8.04;9.68;10.98;10.72;10.42;9.87;9.16;8.46;7.76;9.17
1.1;0;484;0;0;-0.32;0;390.25;-11.9;11;12;77.4;89.5;8;88.5;2.96;3926.81;4189.37;0;1;392;10.07;4;5.17;14;85;14;-500.11;9.5;12.84;14.89;11.53;12.19;8.72;9.06;10.29;10.15;10.57;8.06;9.7;10.98;10.73;10.44;9.89;9.18;8.48;7.78;9.19
1.2;0;484;0;0;-0.28;0;390.2;-12;11;12;77.4;89.5;8;88.5;2.96;4026.8;4289.36;0;1;392;10.32;4;5.16;14;85;14;-500.11;9.5;12.84;15.05;11.5;12.15;8.73;9.07;10.3;10.17;10.59;8.07;9.72;10.99;10.74;10.47;9.91;9.19;8.5;7.8;9.21
1.3;0;484;0;0;-0.29;0;390.15;-12;11;12;77.4;89.5;8;88.5;2.96;4126.81;4395.23;0;1;392;10.57;4;5.15;14;85;14;-500.11;9.5;12.84;15.21;11.47;12.11;8.74;9.08;10.3;10.18;10.61;8.09;9.74;11;10.75;10.5;9.92;9.21;8.51;7.81;9.22
1.4;0;484;0;0;-0.29;0;390.1;-12;11;12;77.4;89.5;8;88.5;2.96;4226.81;4515.22;0;1;392;10.82;4;5.14;14;85;14;-500.11;9.5;12.84;15.37;11.45;12.06;8.75;9.09;10.31;10.2;10.63;8.11;9.75;11.01;10.76;10.52;9.94;9.23;8.53;7.83;9.24
1.5;0;484;0;0;-0.29;0;390.1;-13.03;11;12;77.4;89.5;8;88.5;2.96;4326.82;4629.35;0;1;392;11.07;4;5.13;14;85;14;-500.11;9.5;12.84;15.52;11.42;12.02;8.76;9.1;10.32;10.22;10.64;8.12;9.77;11.02;10.76;10.55;9.96;9.25;8.55;7.85;9.26
1.6;0;484;0;0;-0.35;0;390.1;-14.08;11;12;77.4;89.5;8;88.5;3.96;4426.82;4729.34;0;1;392;11.32;4;5.12;13.87;85;14;-500.11;9.5;12.84;15.68;11.4;11.98;8.77;9.11;10.33;10.24;10.66;8.14;9.79;11.03;10.77;10.57;9.98;9.26;8.57;7.87;9.28
1.7;0;484;0;0;-0.28;0;390;-13.56;11;12;77.4;89.5;8;88.5;3.96;4526.8;4829.34;0;1;392;11.57;4;5.12;13.37;85;14;-500.11;9.5;12.84;15.84;11.37;11.93;8.77;9.12;10.34;10.25;10.68;8.16;9.8;11.04;10.78;10.6;9.99;9.28;8.58;7.88;9.29
1.8;0;484;0;0;-0.29;0;389.9;-13.01;11;12;77.4;89.5;8;88.5;3.96;4629.46;4929.33;0;1;392;11.82;4;5.11;13;85;14;-500.11;9.5;12.84;15.99;11.34;11.89;8.78;9.13;10.35;10.26;10.7;8.17;9.82;11.05;10.81;10.63;9.99;9.3;8.6;7.9;9.3
1.9;0;484;0;0;-0.31;0;389.95;-13.83;11;12;77.4;89.5;8;88.5;3.96;4739.42;5029.32;0;1;392;12.07;4;5.11;13;85;14;-500.11;9.5;12.84;16.15;11.32;11.85;8.79;9.13;10.36;10.26;10.7;8.17;9.84;11.05;10.84;10.65;9.97;9.31;8.61;7.92;9.3
