Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;525;0;0;-0.31;0;390;-10.4;11;11;84.4;100;8;88.5;2.96;3820;4160;0;1;392;9.75;7.5;7.73;10;85;10;-500.11;10;12.34;10;9.56;10.35;9.65;9.91;8.78;8.95;8.52;11.31;11.92;10;10.09;12.88;12.71;10.17;10.26;10.35;10.09
0.1;0;525;0;0;-0.31;0;390.03;-11.2;11;11;84.4;100;8;88.5;2.96;3820;4160;0;1;392;9.75;7.5;7.73;10;85;10;-500.11;10;12.34;10;9.56;10.35;9.65;9.91;8.78;8.95;8.52;11.31;11.92;10;10.08;12.87;12.71;10.17;10.26;10.35;10.09
0.2;0;525;0;0;-0.3;0;390.08;-12.45;11;11;84.4;100;8;88.5;2.96;3914.42;4160;0;1;392;9.99;7.5;7.74;10;85;10;-500.11;10;12.34;10;9.56;10.35;9.66;9.92;8.78;8.95;8.52;11.32;11.92;10;10.08;12.86;12.72;10.17;10.27;10.35;10.09
0.3;0;525;0;0;-0.33;0;390.04;-12.61;11;11;84.4;100;8;88.5;2.96;4014.41;4256.96;0;1;392;10.24;7.5;7.75;10;85;10;-500.11;10;12.34;10;9.58;10.35;9.67;9.93;8.79;8.95;8.53;11.33;11.91;10;10.07;12.84;12.73;10.17;10.27;10.35;10.09
0.4;0;525;0;0;-0.33;0;389.94;-12.16;11;11;84.4;100;8;88.5;3.96;4114.41;4356.95;0;1;392;10.49;7.5;7.76;10;85;10;-500.11;10;12.34;10;9.63;10.34;9.68;9.93;8.8;8.95;8.54;11.34;11.9;10;10.06;12.82;12.73;10.17;10.28;10.35;10.09
0.5;0;525;0;0;-0.32;0;389.9;-12.8;11;11;84.4;100;8;88.5;3.96;4214.41;4476.33;0;1;392;10.74;7.5;7.77;10;85;10;-500.1;10;12.34;10;9.67;10.33;9.69;9.94;8.81;8.95;8.55;11.35;11.89;10;10.05;12.81;12.74;10.17;10.29;10.35;10.09
0.6;0;525;0;0;-0.35;0;389.9;-14.05;11;11;84.4;100;8;88.5;3.96;4314.4;4596.32;0;1;392;10.99;7.5;7.78;10;85;10;-500.09;10;12.34;10;9.71;10.32;9.7;9.95;8.82;8.95;8.56;11.36;11.88;10;10.04;12.79;12.75;10.17;10.3;10.35;10.09
0.7;0;525;0;0;-0.34;0;389.84;-13.92;11;11;84.4;100;8;88.5;3.96;4414.38;4696.93;0;1;392;11.24;7.5;7.79;10;85;10;-500.07;10;12.34;10;9.76;10.31;9.71;9.96;8.83;8.95;8.56;11.36;11.87;10;10.03;12.77;12.76;10.17;10.31;10.35;10.09
0.8;0;525;0;0;-0.3;0;389.74;-13.02;11;11;84.4;100;8;88.5;3.96;4533.26;4796.92;0;1;392;11.6;7.5;7.79;10;85;10;-500.06;10;12.34;10;9.8;10.3;9.71;9.97;8.83;8.95;8.57;11.37;11.86;10;10.02;12.75;12.77;10.17;10.32;10.35;10.09
0.9;0;525;0;0;-0.32;0;389.73;-13.47;11;11;84.4;100;8;88.5;3.96;4653.26;4896.92;0;1;392;11.98;7.5;7.8;10;85;10;-500.04;10;12.34;10;9.84;10.29;9.72;9.98;8.84;8.95;8.58;11.38;11.85;10;10.01;12.74;12.78;10.17;10.33;10.35;10.09
