Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;569;0;0;0.226;0;390.8;-19.3;16;17;87.4;100;8;89.5;6.08;6520;6880;0;1;392;16.5;19.5;18;85;18;18.5;28.0056
0.1;0;569;0;0;0.19843;0;390.78593;-19.2578;16;17;87.4;100;8;89.5;6.08;6585.95021;6880;0;1;392;16.74731;19.5;18.32975;85;18;18.5;28.0056
0.2;0;569;0;0;0.22734;0;390.73593;-19.1078;16;17;87.4;100;8;89.5;6.08;6685.92022;6921.08595;0;1;392;17.1222;19.5;18.8296;85;18;18.5;28.0056
0.3;0;569;0;0;0.23223;0;390.7;-19.22512;16;17;87.4;100;8;89.5;6.08;6779.33087;6981.08295;0;1;392;17.3324;19.5;19;85;18;18.5;28.0056
0.4;0;569;0;0;0.2122;0;390.7;-20.02512;16;17;87.4;100;8;89.5;6.08;6869.34887;7000;0;1;392;17.45743;19.5;19;85;18;18.5;28.0056
0.5;0;569;0;0;0.21979;0;390.68593;-20.52965;16;17;87.4;100;8;89.5;6.08;6932.97335;7000;0;1;392;17.58243;19.5;19;85;18;18.5;28.0056
0.6;0;569;0;0;0.226;0;390.63593;-20.27965;16;17;87.4;100;8;89.5;6.08;6982.97085;7000;0;1;392;17.70743;19.5;19;85;18;18.5;28.0056
0.7;0;569;0;0;0.21221;0;390.6;-20.17035;16;17;87.4;100;8;89.5;6.08;7000;7000;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
0.8;0;569;0;0;0.17839;0;390.6;-20.42035;16;17;87.4;100;8;89.5;6.08;7000;7000;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
0.9;0;569;0;0;0.17979;0;390.6;-20.62814;16;17;87.4;100;8;89.5;6.96;7000;7000;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
1;0;569;0;0;0.21362;0;390.6;-20.72815;16;17;87.4;100;8;89.5;6.96;7000;7000;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
1.1;0;569;0;0;0.23979;0;390.6;-20.72962;16;17;87.4;100;8;89.5;6.96;7000;7000;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
1.2;0;569;0;0;0.21838;0;390.6;-20.47962;16;17;87.4;100;8;89.5;6.96;7000;6986.31468;0;1;392;17.75;19.5;19;85;18;18.5;28.0056
1.3;0;569;0;0;0.19221;0;390.6;-20.32815;16;17;87.4;100;8;89.5;6.96;6993.41167;6966.31568;0;1;392;17.75;19.5;19;85;18.32942;18.5;28.0056
1.4;0;569;0;0;0.186;0;390.6;-20.42816;16;17;87.4;100;8;89.5;6.96;6983.41117;6946.31668;0;1;392;17.75;19.5;19;85;18.82944;18.5;28.0056
1.5;0;569;0;0;0.21359;0;390.58592;-20.33105;16;17;87.4;100;8;89.5;6.96;6973.41199;6926.31768;0.32;1;392;17.75;19.5;19;85;19;18.5;28.0056
1.6;0;569;0;0;0.21219;0;390.53592;-19.73108;16;17;87.4;100;8;89.5;6.96;6963.41349;6906.31868;0.32;1;392;17.75;19.5;19;85;19;18.5;28.0056
1.7;0;569;0;0;0.206;0;390.51407;-19.48297;16;17;87.4;100;8;89.5;6.96;6940.24496;6886.31968;0.32;1;392;17.75;19.5;19;85;19;18.5;28.0056
1.8;0;569;0;0;0.21981;0;390.56408;-20.13297;16;17;87.4;100;8;89.5;6.96;6910.24946;6852.64;0.32;1;392;17.75;19.5;19;85;19;18.5;28.0056
1.9;0;569;0;0;0.23979;0;390.58592;-20.50147;16;17;87.4;100;8;89.5;6.96;6880.24902;6812.64;0.32;1;392;17.6677;19.5;19;85;19;18.5;28.0056
2;0;569;0;0;0.21837;0;390.53592;-20.15143;16;17;87.4;100;8;89.5;6.96;6850.24602;6786.32068;0.32;1;392;17.54269;19.5;19;85;19;18.5;28.0056
2.1;0;569;0;0;0.2198;0;390.51409;-19.91408;16;17;87.4;100;8;89.5;6.96;6820.245;6766.32168;0.32;1;392;17.41769;19.5;19;85;19;18.5;28.0056
2.2;0;569;0;0;0.2122;0;390.56409;-19.96408;16;17;87.4;100;8;89.5;6.96;6790.245;6732.78281;0.32;1;392;17.29269;19.5;19;85;19;18.5;28.0056
2.3;0;569;0;0;0.17842;0;390.6;-20;16;17;87.4;100;8;89.5;6.96;6760.34915;6692.98577;0.4;1;392;17.25;19.5;19;85;19;18.5;28.0056
2.4;0;569;0;0;0.17981;0;390.6;-20;16;17;87.4;100;8;89.5;6.96;6730.50731;6666.52667;0.4;1;392;17.25;19.5;19;85;19;18.5;28.0056
2.5;0;569;0;0;0.1998;0;390.58591;-19.92955;16;17;87.4;100;8;89.5;6.96;6700.56203;6646.52767;0.4;1;392;17.16901;19.5;19;85;19;18.5;28.0056
2.6;0;569;0;0;0.23363;0;390.53591;-19.67955;16;17;87.4;100;8;89.5;6.96;6670.56053;6626.528;0.4;1;392;17.044;19.5;19;85;19;18.5;28.0056
2.7;0;569;0;0;0.246;0;390.51409;-19.61272;16;17;87.4;100;8;89.5;6.96;6647.03806;6606.528;0.4;1;392;17;19.5;19;85;19;18.5;28.0056
2.8;0;569;0;0;0.20455;0;390.56409;-20.01272;16;17;87.4;100;8;89.5;6.96;6627.03506;6573.05735;0.4;1;392;17;19.5;19;85;19;18.5;28.0056
2.9;0;569;0;0;0.2274;0;390.58591;-20.145;16;17;87.4;100;8;89.5;6.62528;6600.55197;6533.05935;0.41859;1;392;16.91897;19.5;19.32413;85;19;18.5;28.0056
3;0;569;0;0;0.20459;0;390.53591;-19.59497;16;17;87.4;100;8;89.5;6.59328;6570.55347;6506.53067;0.45859;1;392;16.79397;19.5;19.82411;85;19;18.5;28.0056
3.1;0;569;0;0;0.17221;0;390.52819;-19.15771;16;17;87.4;100;8;89.5;6.56128;6540.55594;6486.53167;0.48;1;392;16.66898;19.5;20;85;19;18.5;28.0056
3.2;0;569;0;0;0.20746;0;390.6282;-19.00771;16;17;87.4;100;8;89.5;6.52927;6510.55894;6453.06535;0.48;1;392;16.544;19.5;20;85;19;18.5;28.0056
3.3;0;569;0;0;0.226;0;390.7;-18.78719;16;17;87.4;100;8;89.5;6.49727;6487.04194;6413.06735;0.48;1;392;16.5;19.5;20;85;19;18.5204;28.0056
3.4;0;569;0;0;0.2122;0;390.7;-18.38717;16;17;87.4;100;8;89.5;6.46527;6467.04494;6386.53467;0.48;1;392;16.5;19.5;20;85;19;18.5704;28.0056
3.5;0;569;0;0;0.19221;0;390.7;-18.0859;16;17;87.4;100;8;89.5;6.43327;6440.56706;6366.53567;0.48;1;392;16.41903;19.5;20;85;19;18.62041;28.0056
3.6;0;569;0;0;0.22746;0;390.7;-18.0359;16;17;87.4;100;8;89.5;6.40127;6410.56406;6346.53667;0.48;1;392;16.29402;19.5;20;85;19;18.67041;28.0056
3.7;0;569;0;0;0.19079;0;390.7;-18.09874;16;17;87.4;100;8;89.5;6.36927;6387.04524;6326.53767;0.48;1;392;16.25;19.5;20;85;19;18.72041;28.0056
3.8;0;569;0;0;0.19363;0;390.7;-18.44874;16;17;87.4;100;8;89.5;6.33726;6367.05024;6320;0.48;1;392;16.25;19.5;20;85;19;18.77041;28.0056
3.9;0;569;0;0;0.2198;0;390.6859;-18.54485;16;17;87.4;100;8;89.5;6.32;6340.57509;6320;0;1;392;16.16906;19.5;20;85;19;18.82042;28.0056
4;0;569;0;0;0.21218;0;390.6359;-17.99485;16;17;87.4;100;8;89.5;6.32;6310.57059;6293.08135;0;1;392;16.04404;19.5;20;85;19;18.87042;28.0056
4.1;0;569;0;0;0.24741;0;390.61411;-17.79748;16;17;87.4;100;8;89.5;6.32;6300;6253.08335;0;1;392;16;19.5;20;85;19;18.92042;28.0056
4.2;0;569;0;0;0.23838;0;390.66411;-18.49751;16;17;87.4;100;8;89.5;6.32;6300;6240;0;1;392;16;19.5;20;85;19;18.97042;28.0056
4.3;0;569.0001;0;0;0.226;0;390.67178;-18.94356;16;17;87.4;100;8;89.5;6.32;6280.587;6240;0;1;392;16;19.5;20;85;19;19;28.0056
4.4;0;569.00053;0;0;0.18452;0;390.57177;-18.74355;16;17;87.4;100;8;89.5;6.32;6250.587;6226.54467;0;1;392;16;19.5;20;85;19;19;28.0056
4.5;0;569.00096;0;0;0.20742;0;390.5;-18.68469;16;17;87.4;100;8;89.5;6.32;6233.52803;6206.54567;0;1;392;16;19.5;20.3236;85;19;19;28.0056
4.6;0;569.00139;0;0;0.18452;0;390.5;-18.98469;16;17;87.4;100;8;89.5;6.32;6223.52653;6186.54667;0;1;392;16;19.5;20.82367;85;19;19;28.0056
4.7;0;569.00182;0;0;0.166;0;390.5;-19.21412;16;17;87.4;100;8;89.5;6.32;6213.52697;6166.54767;0.48;1;392;15.91909;19.5;21;85;19;19;28.0056
4.8;0;569.00225;0;0;0.20748;0;390.5;-19.26411;16;17;87.4;100;8;89.5;6.32;6203.52847;6146.54867;0.48;1;392;15.79411;19.5;21;85;19;19;28.0056
4.9;0;569.00268;0;0;0.19838;0;390.5;-19.24355;16;17;87.4;100;8;89.5;6.24;6180.58991;6126.54967;0.48;1;392;15.75;19.5;21;85;19;19;28.0056
5;0;569.00311;0;0;0.17217;0;390.5;-19.0436;16;17;87.4;100;8;89.5;6.24;6150.59441;6106.55067;0.48;1;392;15.75;19.5;21;85;19;19;28.0056
5.1;0;569.00354;0;0;0.20745;0;390.51409;-19.02683;16;17;87.4;100;8;89.5;6.24;6133.53168;6086.55167;0.48;1;392;15.66915;19.5;21;85;19.32342;19;28.0056
5.2;0;569.00397;0;0;0.226;0;390.5641;-19.4769;16;17;87.4;100;8;89.5;6.24;6123.53118;6066.55267;0.48;1;392;15.54414;19.5;21;85;19.82344;19;28.0056
5.3;0;569.0044;0;0;0.226;0;390.57179;-19.5743;16;17;87.4;100;8;89.5;6.24;6107.06394;6046.55367;0.48;1;392;15.5;19.5;21;85;20;19.02045;28.0056
