Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;549;0;0;0.19;0;386.6;-2.6;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.1;0;549;0;0;0.19;0;386.6;-2.6;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.2;0;549;0;0;0.21;0;386.6;-2.38;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.3;0;549;0;0;0.23;0;386.6;-2.08;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.4;0;549;0;0;0.19;0;386.6;-2.15;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.5;0;549;0;0;0.2;0;386.6;-2.35;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.6;0;549;0;0;0.2;0;386.6;-2.33;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.7;0;549;0;0;0.18;0;386.6;-2.23;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.8;0;549;0;0;0.18;0;386.6;-2.2;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21;25.01
0.9;0;549;0;0;0.21;0;386.6;-2.2;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.05;25.01
1;0;549;0;0;0.19;0;386.6;-2.31;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.1;25.01
1.1;0;549;0;0;0.17;0;386.6;-2.46;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.15;25.01
1.2;0;549;0;0;0.2;0;386.6;-2.43;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.2;25.01
1.3;0;549;0;0;0.19;0;386.6;-2.33;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.25;25.01
1.4;0;549;0;0;0.19;0;386.6;-2.37;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.3;25.01
1.5;0;549;0;0;0.21;0;386.6;-2.47;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.35;25.01
1.6;0;549;0;0;0.23;0;386.6;-2.35;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.4;25.01
1.7;0;549;0;0;0.21;0;386.6;-2.15;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.45;25.01
1.8;0;549;0;0;0.24;0;386.6;-2.25;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.5;25.01
1.9;0;549;0;0;0.2;0;386.6;-2.45;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.59;25.01
2;0;549;0;0;0.2;0;386.6;-2.39;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.69;25.01
2.1;0;549;0;0;0.24;0;386.6;-2.24;18;18;77.9;90.5;8;89.5;0.44;0;0;0;16;0;21.79;25.01
